config,steps_remaining,n_paths,ratio_curvature_mean,ratio_curvature_std,ratio_std_jerk,ratio_path_efficiency
baseline,200,1000,0.2105642812461386,0.2314982373105955,1.0246663031361025,0.016902701653587114
baseline,100,1000,0.45038808525932533,0.4741016257447703,0.8973781075603021,0.7140889066019174
baseline,50,1000,0.45235102845355113,0.4895110361341123,0.9004944522862791,0.8018219158130576
baseline,25,1000,0.47384952603792,0.5036543736497535,0.891491018480329,0.811708920878122
baseline,16,1000,0.45266966717863966,0.47865801974304656,0.8908304612344523,0.8119846345492955
baseline,10,1000,0.4646175026008712,0.4949716461084729,0.8809245714117823,0.8108045279917933
baseline,5,1000,0.4974704090389243,0.5305338214702628,0.8726458518044272,0.8111847484340753
baseline,2,1000,0.5529574804738758,0.5878382229430171,0.870139454542473,0.8110880664807931
baseline,0,1000,0.5802261302197408,0.6154547203112161,0.8696641335475814,0.811074592089855
