config,steps_remaining,n_paths,ratio_curvature_mean,ratio_curvature_std,ratio_std_jerk,ratio_path_efficiency
baseline,200,1000,0.2105642812461386,0.2314982373105955,1.0246663031361025,0.016902701653587114
baseline,100,1000,0.45038808525932533,0.4741016257447703,0.8973781075603021,0.7140889066019174
baseline,50,1000,0.45235102845355113,0.4895110361341123,0.9004944522862791,0.8018219158130576
baseline,25,1000,0.47384952603792,0.5036543736497535,0.891491018480329,0.811708920878122
baseline,16,1000,0.45266966717863966,0.47865801974304656,0.8908304612344523,0.8119846345492955
baseline,10,1000,0.4646175026008712,0.4949716461084729,0.8809245714117823,0.8108045279917933
baseline,5,1000,0.4974704090389243,0.5305338214702628,0.8726458518044272,0.8111847484340753
baseline,2,1000,0.5529574804738758,0.5878382229430171,0.870139454542473,0.8110880664807931
baseline,0,1000,0.5802261302197408,0.6154547203112161,0.8696641335475814,0.811074592089855
guidance_off,200,1000,0.21839364424428725,0.2483431360860452,1.0479200838483897,0.021883608147106284
guidance_off,100,1000,0.3913143182578509,0.4041158269007379,0.9406670943652444,0.6421629353314351
guidance_off,50,1000,0.4403114943036831,0.4664636003925649,0.9542798894762076,0.775431280962894
guidance_off,25,1000,0.4075998395554421,0.43449377010903895,0.9384362214044563,0.798948738114705
guidance_off,16,1000,0.41102758800680894,0.43559902611627666,0.9362549990558791,0.8000824492271807
guidance_off,10,1000,0.45660549183684707,0.4872901690538969,0.9271332622921166,0.7994767820529486
guidance_off,5,1000,0.47763002449512193,0.5118327170846478,0.9186495549006858,0.7999151462877108
guidance_off,2,1000,0.5051121687173215,0.5412112034697844,0.915443840355079,0.8002613415822261
guidance_off,0,1000,0.5324303822214591,0.5705424647937928,0.9145815275786361,0.8003910492919672
no_stall_reveal,200,1000,0.2081188455515094,0.23968173954643993,1.042301498492265,0.016063665177683317
no_stall_reveal,100,1000,0.4224037742638644,0.4649389577244275,0.9145652471550827,0.5345523269061229
no_stall_reveal,50,1000,0.4921606127515772,0.5278718935914252,0.9303699762459072,0.5986944743408473
no_stall_reveal,25,1000,0.46642731367685225,0.5018476018519867,0.9239768524325084,0.6106799580570954
no_stall_reveal,16,1000,0.46119271401776596,0.49041873870387864,0.9283264947453548,0.6136921132274822
no_stall_reveal,10,1000,0.5069001121754515,0.5339741094356876,0.9218636777261845,0.6146440308975901
no_stall_reveal,5,1000,0.49924891563122287,0.5256388842154449,0.914540459216085,0.6168146386494702
no_stall_reveal,2,1000,0.528316647491035,0.5569318724205337,0.9109325229620168,0.6179474748075563
no_stall_reveal,0,1000,0.5343420705140162,0.5670018573000767,0.9100121379092587,0.6179801151987596
