config,steps_remaining,n_paths,ratio_curvature_mean,ratio_curvature_std,ratio_std_jerk,ratio_path_efficiency
guidance_off,200,1000,0.21839364424428725,0.2483431360860452,1.0479200838483897,0.021883608147106284
guidance_off,100,1000,0.3913143182578509,0.4041158269007379,0.9406670943652444,0.6421629353314351
guidance_off,50,1000,0.4403114943036831,0.4664636003925649,0.9542798894762076,0.775431280962894
guidance_off,25,1000,0.4075998395554421,0.43449377010903895,0.9384362214044563,0.798948738114705
guidance_off,16,1000,0.41102758800680894,0.43559902611627666,0.9362549990558791,0.8000824492271807
guidance_off,10,1000,0.45660549183684707,0.4872901690538969,0.9271332622921166,0.7994767820529486
guidance_off,5,1000,0.47763002449512193,0.5118327170846478,0.9186495549006858,0.7999151462877108
guidance_off,2,1000,0.5051121687173215,0.5412112034697844,0.915443840355079,0.8002613415822261
guidance_off,0,1000,0.5324303822214591,0.5705424647937928,0.9145815275786361,0.8003910492919672
